,not_blank_or_descriptive_lines
1497,"Niggas thinkin' I'm crazy, you defendin' me
"
1498,"It's funny I ain't spoke to niggas in centuries
"
1499,"To be honest, dawg, I ain't feelin' your energy
"
1500,"Money turn your kin into an enemy
"
1501,"Niggas ain't real as they pretend to be
"
1502,"Lookin' for all my real friends
"
1503,"How many of us? How many of us are real friends
"
1504,"To real friends, 'til the reel end
"
1505,"'Til the wheels fall off, 'til the wheels don't spin (Yeah yeah)
"
1506,"To 3 A.M., callin'
"
1507,"How many real friends?
"
1508,"Just to ask you a question
"
1509,"Just to see how you was feelin'
"
1510,"How many?
"
1511,"For the last you was frontin'
"
1512,"I hate when a nigga text you like, ""What's up, fam? Hope you good""
"
1513,"You say, ""I'm good, I'm great,"" the next text they ask you for somethin'
"
1514,"How many?
"
1515,"What's best for your family, immediate or extended
"
1516,"Any argument, the media'll extend it
"
1517,"I had a cousin that stole my laptop that I was fuckin' bitches on
"
1518,"Paid that nigga 250 thousand just to get it from him
"
1519,"Real friends
"
1520,"Huh?
"
1521,"Real friends
"
1522,"I guess I get what I deserve, don't I
"
1523,"Word on the streets is they ain't heard from him
"
1524,"I guess I get what I deserve, don't I
"
1525,"Talked down on my name, throwed dirt on him
"
1526,"Lost out, beat up
"
1527,"Dancin', down there
"
1528,"I found you, somewhere out
"
1529,"'Round 'round there, right right there
"
1530,"Lost and beat up
"
1531,"Down there, dancin'
"
1532,"I found you, somewhere out
"
1533,"Right down there, right 'round there
"
1534,"Lost and, found out
"
1535,"Turned out, how you thought
"
1536,"Daddy, found out
"
1537,"That you turned out, how you turned out
"
1538,"If mama knew now
"
1539,"How you turned out, you too wild
"
1540,"You too wild, you too wild
"
1541,"You too wild, I need you now
"
1542,"Love you, got to
"
1543,"Love you, love you
"
1544,"Found you, found you
"
1545,"Right now, right now
"
1546,"Right now, right now
"
1547,"If your mama knew how
"
1548,"You turned out, you too wild
"
1549,"You too wild, you too wild
"
1550,"You too wild, and I need you now
"
1551,"Lost in... my doubt
"
1552,"Cry, I'm not sorry
"
1553,"Cry, who needs sorry when there's Hennessy?
"
1554,"Don't fool yourself
"
1555,"Your eyes don't lie, you're much too good to be true
"
1556,"Don't fire fight
"
1557,"Yeah, I feel you burning, everything's burning
"
1558,"Don't fly so high
"
1559,"Your wings might melt, you're much too good to be true
"
1560,"I'm just bad for you
"
1561,"I'm just bad, bad, bad for you
"
1562,"I was lost and beat up
"
1563,"Turned out, burned up
"
1564,"You found me, through a heartache
"
1565,"Didn't know me, you were drawn in
"
1566,"I was lost and beat up
"
1567,"I was warm flesh, unseasoned
"
1568,"You found me, in your gaze
"
1569,"Well, I found me, oh, Jesus
"
1570,"I was too wild, I was too wild
"
1571,"I was too wild, I was too wild
"
1572,"I was too wild, I was too wild
"
1573,"And I need you now
"
1574,"Lost and found out (Yeah)
"
1575,"You gotta let me know if I could be your Joseph
"
1576,"Only tell you real shit, that's the tea, no sip
"
1577,"Don't trip, don't trip, that pussy slippery, no whip
"
1578,"We ain't trippin' on shit, we just sippin' on this
"
1579,"Just forget the whole shit, we could laugh about nothin'
"
1580,"I impregnate your mind, let's have a baby without fuckin', yo
"
1581,"I know it's corny bitches you wish you could unfollow
"
1582,"I know it's corny niggas you wish you could unswallow
"
1583,"I know it's corny bitches you wish you could unfollow
"
1584,"I know it's corny niggas you wish you could unswallow
"
1585,"I know it's corny bitches you wish you could unfollow
"
1586,"I know it's corny niggas you wish you could unswallow
"
1587,"You tried to play nice, everybody just took advantage
"
1588,"You left your fridge open, somebody just took a sandwich
"
1589,"I said baby what if you was clubbin'
"
1590,"Thuggin', hustlin' before you met your husband?
"
1591,"Then I said, ""What if Mary was in the club
"
1592,"'Fore she met Joseph around hella thugs?
"
1593,"Cover Nori in lambs' wool
"
1594,"We surrounded by the fuckin' wolves""
"
1595,"(What if Mary) ""What if Mary
"
1596,"(Was in the club) was in the club
"
1597,"'Fore she met Joseph with no love?
"
1598,"Cover Saint in lambs' wool
"
1599,"(And she was) We surrounded by
"
1600,"(Surrounded by) the fuckin' wolves""
"
1601,"The rings all ringed out
"
1602,"Burn out, cave in
"
1603,"Blackened to dark out
"
1604,"I'm mixed now, fleshed out
"
1605,"There's light with no heat
"
1606,"We cooled out, it's cool out
"
1607,"Life is precious
"
1608,"We found out, we found out
"
1609,"We found out
"
1610,"Yeezy, Yeezy, what's good?
"
1611,"It's your boy Max B, what's going on?
"
1612,"Just checking in on you
"
1613,"Appreciate the love and support
"
1614,"The wave is here
"
1615,"You a wavey dude anyway, so you already know
"
1616,"Ain't no problem, man, the game...
"
1617,"You already know how this game thing goes
"
1618,"Do your wave nigga
"
1619,"You got the official wave man
"
1620,"Just, just doing you...
"
1621,"Doing you, doing your wave
"
1622,"And keep it loopy, I know you're going to keep it loopy man
"
1623,"Shoutout, just shout you out
"
1624,"Hollering at you man, it's all love
"
1625,"I appreciate the... the energy
"
1626,"And we here, hit the town, we do something big
"
1627,"We gonna make a big tsunami up in the joint
"
1628,"You already know what it is, ahh
"
1629,"Silver Surfer, Silver Surfer in the flesh
"
1630,"Silver Surfer in the flesh
"
1631,"Max Biggaveli shout to Yeezy
"
1632,"What's good, I see you
"
1633,"It's love, appreciate it
"
1634,"It's honor, appreciate it
"
1635,"Oww, wavey, baby, yeah
"
1636,"Baby lion goes
"
1637,"Where the islands go
"
1638,"You say you never saw this comin', well you're not alone
"
1639,"Million dollar renovations to a happy home
"
1640,"My ex says she gave me the best years of her life
"
1641,"I saw a recent picture of her, I guess she was right
"
1642,"I wake up, assessin' the damages
"
1643,"Checkin' MediaTakeOut
"
1644,"Pictures of me drunk walkin' out with a bitch
"
1645,"But it's blurry enough to get the fake out
"
1646,"I wake up, all veggies no eggs
"
1647,"I hit the gym, all chest no legs
"
1648,"Yep, then I made myself a smoothie
"
1649,"Yeah, then me and wifey make a movie
"
1650,"Chicago - St. Louis, St. Louis to Chicago
"
1651,"Ándale, ándale E.I, E.I, uh-oh
"
1652,"You had me drivin' far enough to switch the time zone
"
1653,"You was the best of all time at the time though
"
1654,"Yeah, you wasn't mine though
"
1655,"But I still drove 30 hours
"
1656,"And I, I still drove 30 hours to you, yeah
"
1657,"I remember rappin' for Jay and Cam
"
1658,"Young producer just trying to get his flows off
"
1659,"I remember being nervous to do Victoria's Secret
"
1660,"'Til I pictured everybody with they clothes off
"
1661,"Expedition was Eddie Bauer edition
"
1662,"I'm drivin' with no winter tires in December
"
1663,"Skrrt, skrrt, skrrt, like a private school for women
"
1664,"Then I get there and all the Popeye's is finished, girl
"
1665,"You don't love me, you just pretendin'
"
1666,"I need a happy beginnin', middle and endin'
"
1667,"Chicago, St. Louis, St. Louis to Chicago
"
1668,"It's gettin' hot in here, that's all that I know
"
1669,"Got a hotel room, three stars for you
"
1670,"You call down for an omelet, girl, it's 5 in the morning
"
1671,"You realize we at the DoubleTree, not the Aria
"
1672,"Only thing open is Waffle House, girl, don't start with me
"
1673,"I used the Western Union for you like it's no prob'
"
1674,"'Cause you was in college complainin' 'bout it's no jobs
"
1675,"But you were suckin' a nigga dick the whole time
"
1676,"Well, I guess a blowjob's better than no job
"
1677,"And I drove back 30 hours
"
1678,"Where the main ties onto the sail
"
1679,"Better on sighting
"
1680,"For astern, oh
"
1681,"3 Stacks, can you help me out?
"
1682,"30 hours
"
1683,"Yeah, this type of shit you just ride out to
"
1684,"30 hours
"
1685,"30 hours
"
1686,"I just be like, it was my idea to have an open relationship
"
1687,"Now a nigga mad
"
1688,"Now I'm 'bout to drive 90 miles like Matt Barnes to kill...
"
1689,"30 hours
"
1690,"Just to kill..
"
1691,"Just to...
"
1692,"Just to...
"
1693,"I'm about to drive 90
"
1694,"90 miles like Matt Barnes just to whoop a nigga ass
"
1695,"It was my idea and now a nigga (30 hours)
"
1696,"Now a nigga mad, now a nigga, uh
"
1697,"A stunna
"
1698,"Whoop him after school just to show I got class
"
1699,"Duh-duh-duh-duh-duh-duh-duh-duh
"
1700,"Duh-duh with you, yeah (30 hours)
"
1701,"You know what I'm sayin'? Drop some shit like that
"
1702,"Ayy, ayy whoop him after school just to
"
1703,"30 hours
"
1704,"Whoop him after school just to show I got class
"
1705,"Uh, 3 Stacks
"
1706,"30 hours
"
1707,"Just ride out to that
"
1708,"Check it out: this the bonus track, this the bonus
"
1709,"30 hours
"
1710,"My favorite albums used to have like bonus joints like this
"
1711,"That's why they kick it off like this
"
1712,"Yeah, just did that Madison Square Garden
"
1713,"30 hours
"
1714,"Had to put the flyest nigga on this shit, ayy, ayy
"
1715,"The pyramids shall rise
"
1716,"30 hours
"
1717,"Look at these ultralight beams flowin'
"
1718,"For all the moms, the dads, the kids, the families that shared this moment with us
"
1719,"Let's rock out for 'bout
"
1720,"30 hours
"
1721,"You know, ayy, you know
"
1722,"Ayy, you know, ayy, you know
"
1723,"30 hours
"
1724,"Whole design team, Yeezy team, music team
"
1725,"Remember when the whole block'd get shout out?
"
1726,"This my version of a shout-out track
"
1727,"30 hours
"
1728,"Let that mothafucka rock, let that, let that, yeah
"
1729,"To my brother Yasiin, holding it down in Africa
"
1730,"30 hours
"
1731,"To my family: thank you for holding me down
"
1732,"The media be acting like
"
1733,"30 hours
"
1734,"That's Gabe calling
"
1735,"Yo Gabe
"
1736,"I'm just doing a... I'm just doing an adlib track right now
"
1737,"What's up?
"
1738,"30 hours
"
1739,"30 hours
"
1740,"La-di-da-da-a, da-a (I like this flavor)
"
1741,"La-da-da-da-di-da-da-a, la-a (La-a, la-a, la-a)
"
1742,"Let me tell you, I'm out here
"
1743,"From a very far away place
"
1744,"All for a chance to be a star
"
1745,"Nowhere seems to be too far
"
1746,"No more parties in L.A.
"
1747,"Please, baby, no more parties in L.A., uh
"
1748,"No more parties in L.A.
"
1749,"Please, baby, no more parties in L.A., uh
"
1750,"No more (Los Angeles)
"
1751,"Please (Shake that body, party that bod-)
"
1752,"Please (Shake that body, party that bod-)
"
1753,"Please (Shake that body, party that body)
"
1754,"Hey, baby, you forgot your Ray Bans
"
1755,"And my sheets still orange from your spray-tan
"
1756,"It was more than soft porn for the K-Man
"
1757,"She remember my Sprinter, said ""I was in the grape van""
"
1758,"Uhm—well, cutie, I like your bougie booty
"
1759,"Come, Erykah Badu-me—well, let's make a movie
"
1760,"Hell, you know my repertoire is like a wrestler
"
1761,"I show you the ropes, connect the dots
"
1762,"A country girl that love Hollywood
"
1763,"Mama used to cook red beans and rice
"
1764,"Now it's Denny's, 4 in the morning, spoil your appetite
"
1765,"Liquor pouring and niggas swarming your section with erection
"
1766,"Smoke in every direction, middle finger pedestrians
"
1767,"R&B singers and lesbians, rappers and managers
"
1768,"Music and iPhone cameras
"
1769,"This shit unanimous for you, it's damaging for you, I think
"
1770,"That pussy should only be holding exclusive rights to me, I mean
"
1771,"He flew you in this motherfucker on first class
"
1772,"Even went out his way so you could check in an extra bag
"
1773,"Now you wanna divide the yam like it equate the math?
"
1774,"That shit don't add up, you're making him mad as fuck
"
1775,"She said she came out here to find an A-list rapper
"
1776,"I said baby, ""Spin that 'round and say the alphabet backwards""
"
1777,"You're dealing with malpractice, don't kill a good nigga's confidence
"
1778,"Just 'cause he a nerd and you don't know what a condom is
"
1779,"The head still good, though; the head still good, though
"
1780,"Make me say ""Nam Myoho Renge Kyo""
"
1781,"Make a nigga say big words and act lyrical
"
1782,"Make me get spiritual, make me believe in miracles
"
1783,"Buddhist monks and Cap'n Crunch cereal
"
1784,"Lord have mercy, thou will not hurt me
"
1785,"Five buddies all herded up on a Thursday
"
1786,"Bottle service, head service, I came in first place
"
1787,"The opportunity, the proper top of breast and booty cheek
"
1788,"The pop community, I mean these bitches come with union fee
"
1789,"And I want two of these, moving units through consumer streets
"
1790,"Then my shoe released, she was kickin' in gratuity
"
1791,"And yeah, G, I was all for it
"
1792,"She said, ""K-Lamar, you kinda dumb to be a poet""
"
1793,"I'ma put you on game for the lames that don't know they a rookie
"
1794,"Instagram is the best way to promote some pussy
"
1795,"Scary, scary
"
1796,"No more parties in L.A.
"
1797,"Please, baby, no more parties in L.A.
"
1798,"Friday night, tryna make it into the city
"
1799,"Breakneck speeds, passenger seat—somethin' pretty
"
1800,"Thinking back to how I got here in the first place
"
1801,"Second-class bitches wouldn't let me on first base
"
1802,"A backpack nigga with luxury tastebuds
"
1803,"And the Louis Vuitton store got all of my pay stubs
"
1804,"Got pussy from beats I did for niggas more famous
"
1805,"When did I become A-list? I wasn't even on a list
"
1806,"Strippers get invited to where they only got hired
"
1807,"When I get on my Steve Jobs, somebody gon' get fired
"
1808,"I was uninspired since Lauryn Hill retired
"
1809,"And 3 Stacks, man, you preaching to the choir
"
1810,"Any rumor you ever heard about me was true and legendary
"
1811,"I done got Lewinsky'd and paid secretaries
"
1812,"For all my niggas with babies by bitches
"
1813,"That use they kids as meal tickets
"
1814,"Not knowin' the disconnect from the father
"
1815,"The next generation will be the real victims
"
1816,"I can't fault 'em, really
"
1817,"I remember Amber told my boy
"
1818,"No matter what happens, she ain't goin' back to Philly
"
1819,"Back to our regularly scheduled programmin'
"
1820,"Of weak content and slow jammin'
"
1821,"But don't worry, this one's so jammin'
"
1822,"You know it, L.A., it's so jammin'
"
1823,"I be thinkin' every day
"
1824,"Mulholland Drive need to put up some goddamn barricades
"
1825,"I be paranoid every time, the pressure
"
1826,"The problem ain't I be drivin', the problem is I be textin'
"
1827,"My psychiatrist got kids that I inspired
"
1828,"First song they played for me was 'bout their friend that just died
"
1829,"Textin' and drivin' down Mulholland Drive
"
1830,"That's why I'd rather take the 405
"
1831,"I be worried 'bout my daughter, I be worried 'bout Kim
"
1832,"But Saint is baby 'Ye, I ain't worried 'bout him
"
1833,"Had my life threatened by best friends with selfish intents
"
1834,"What I'm supposed to do?
"
1835,"Ride around with a bulletproof car and some tints?
"
1836,"Every agent I know, know I hate agents
"
1837,"I'm too black, I'm too vocal, I'm too flagrant
"
1838,"Something smellin' like shit, that's the new fragrance
"
1839,"It's just me, I do it my way, bitch
"
1840,"Some days I'm in my Yeezys, some days I'm in my Vans
"
1841,"If I knew y'all made plans, I wouldn't have popped the Xans
"
1842,"I know some fans thought I wouldn't rap like this again
"
1843,"But the writer's block is over; emcees, cancel your plans
"
1844,"A 38-year-old 8-year-old with rich nigga problems
"
1845,"Tell my wife that I hate the Rolls so I don't never drive it
"
1846,"It took six months to get the Maybach all matted out
"
1847,"And my assistant crashed it soon as they backed it out
"
1848,"Goddamn! Got a bald fade, I might slam
"
1849,"Pink fur, got Nori dressin' like Cam
"
1850,"Thank God for me! (Los Angeles)
"
1851,"Whole family gettin' money, thank God for E!
"
1852,"I love rockin' jewelry, a whole neckful
"
1853,"Bitches say he fun-ny and disrespectful
"
1854,"I feel like Pablo when I'm workin' on my shoes
"
1855,"I feel like Pablo when I see me on the news
"
1856,"I feel like Pablo when I'm workin' on my house
"
1857,"Tell 'em party's in here, we don't need to go out
"
1858,"We need the turbo thots, high speed, turbo thots
"
1859,"Drop-dro-dro-dro-drop, like Robocop
"
1860,"She brace herself and hold my stomach, good dick'll do that
"
1861,"She keep pushin' me back, good dick'll do that
"
1862,"She push me back when the dick go too deep
"
1863,"This good dick'll put your ass to sleep
"
1864,"Get money (Money, money, money)!
"
1865,"Big, big money (Money, money, money!)
"
1866,"And as far as real friends, tell all my cousins I love 'em
"
1867,"Even the one that stole the laptop, you dirty motherfucker!
"
1868,"I just keep on lovin' you, baby
"
1869,"And there's no one else I know can take your pla-, pla-, pla-
"
1870,"Please, no more parties in L.A.
"
1871,"Please, baby, no more parties in L.A., uh
"
1872,"No more parties in L.A.
"
1873,"Please, baby, no more parties in L.A., uh
"
1874,"No more parties in L.A.
"
1875,"Please, baby, no more parties in L.A., uh
"
1876,"Let me tell you, I'm out here from a very far away place
"
1877,"All for a chance to be a star
"
1878,"Nowhere seems to be too far
"
1879,"Swish
"
1880,"Dirt and grime and filth inside
"
1881,"The story of my lifetime
"
1882,"Of cheating, stealing, never feeling
"
1883,"Pain of a brother, your dirty mother
"
1884,"Ha, ha, ha, look how far we are
"
1885,"G-G-G-Good work, Charlie
"
1886,"(Perfect!)
"
1887,"Yeezy, Yeezy, Yeezy just jumped over Jumpman
"
1888,"Yeezy, Yeezy, Yeezy just jumped over Jumpman
"
1889,"(You!)
"
1890,"Yeezy, Yeezy, Yeezy, I feel so accomplished
"
1891,"I done talked a lot of shit but I just did the numbers
"
1892,"Herzog and Adidas, man, you know they love it
"
1893,"If Nike ain't have Drizzy, man, they would have nothin', woo!
"
1894,"If Nike ain't have Don C, man, they would have nothin', ooh!
"
1895,"But I'm all for the family, tell 'em, ""Get your money""
"
1896,"Yeezy, Yeezy, Yeezy, they line up for days
"
1897,"Nike out here bad, they can't give shit away
"
1898,"I stuck to my roots, I'm like Jimmy Fallon
"
1899,"I ain't dropped the album but the shoes went platinum (Woo!)
"
1900,"Every time I talk, they say I'm too aggressive
"
1901,"I was out here spazzin', now y'all get the message?!
"
1902,"On the field I'm over-reckless, on my Odell Beckham
"
1903,"2020, I'ma run the whole election, yah!
"
1904,"I've been trending years, y'all a couple days
"
1905,"Yeezy in the house and we just got appraised
"
1906,"Nike, Nike treat employees just like slaves
"
1907,"Gave LeBron a billi' not to run away (You!)
"
1908,"Ten-thousand dollar fur for Nori, I just copped it (You!)
"
1909,"Your baby daddy won't even take your daughter shoppin' (You!)
"
1910,"I done wore designers I won't wear again
"
1911,"Make 'em niggas famous, they get arrogant
"
1912,"Yeezy, Yeezy, Yeezy just jumped over Jumpman, ah!
"
1913,"Yeezy, Yeezy, Yeezy just jumped over Jumpman
"
1914,"(Sonic boom!)
"
1915,"Yeezy, Yeezy, Yeezy, this is pure luxury
"
1916,"I give 'em Grey Poupon on a DJ Mustard, ah!
"
1917,"If you ain't poppin' shit then why you rap for, huh?
"
1918,"Plus Kimoji just shut down the app store, ah!
"
1919,"And we made a million a minute, we made a million a minute
"
1920,"(We did)
"
1921,"Yeah, we made a million a minute, we made a million a minute, ah!
"
1922,"Do anybody feel bad for Bill Cosby?
"
1923,"Did he forget the names just like Steve Harvey? (You!)
"
1924,"Tell Adidas that we need a million in production (You!)
"
1925,"I done told y'all, all I needed was the infrastructure (Boom!)
"
1926,"Now we hottest in the streets, it ain't no discussion
"
1927,"James Harden, Swaggy P runnin' up the budget (Yoga flame!)
"
1928,"Keep the work at my baby mama's mama's house
"
1929,"I'm a jerk, you need to work, you need to call my spouse
"
1930,"Yeezy, Yeezy, take a picture with me on Rodeo
"
1931,"Yeezy, Yeezy, Yeezy, I might do my own hotel
"
1932,"Couches, couches, couches, couches, which one should I pick?
"
1933,"I need extra deep, I like my bitches extra thick (sonic boom!)
"
1934,"Every time I see the news, man it bring me home
"
1935,"Call up DJ Mano, shout out Twilite Tone
"
1936,"We just blessed to be alive, yeah, ain't that the truth?
"
1937,"So let's celebrate the life of Timbuck2
"
1938,"Timbuck2, Timbuck2
"
1939,"Ha, ha, ha, look how far we are, are, are, are, are, are, are
"
1940,"(Perfect!)
"
1941,"Your love is fadin'
"
1942,"Your love is fadin'
"
1943,"Your love is fadin'
"
1944,"I feel it's fadin'
"
1945,"When no one ain't around (I feel it's fadin')
"
1946,"I think I think too much (I feel it's fadin')
"
1947,"Ain't nobody watchin' (I feel it's fadin')
"
1948,"I just fade away
"
1949,"I feel it
"
1950,"Fade away
"
1951,"I feel it
"
1952,"I feel it
"
1953,"Fade away-ay-ay-ay
"
1954,"I think I think too much
"
1955,"I feel it
"
1956,"Your love is fadin'
"
1957,"I feel it
"
1958,"Roll up, roll up; hold up, hold up; po' up, po' up
"
1959,"I feel it
"
1960,"I love to... I wanna... I'm tryna...
"
1961,"I feel it
"
1962,"I'ma rock the boat, work the middle 'til it hurt a little
"
1963,"I feel it
"
1964,"Your love is fadin'
"
1965,"I feel it
"
1966,"Fuckin' with a real ass nigga
"
1967,"I feel it
"
1968,"Fuck how you feel ass nigga
"
1969,"I feel it
"
1970,"Bitch better act like you know better
"
1971,"I feel it
"
1972,"Woah
"
1973,"When no one ain't around (I feel it's fadin')
"
1974,"I think I think too much (I feel it's fadin')
"
1975,"Ain't nobody watchin' (I feel it's fadin')
"
1976,"I just fade away (I feel it's fadin')
"
1977,"You don't even know, I've been so far gone (I feel it)
"
1978,"I've been so led on, I've been runnin' 'round (I feel it)
"
1979,"I've been on my shit, whole world on my dick (I feel it)
"
1980,"I just need to know (I can feel it)
"
1981,"Oh, deep inside
"
1982,"Deep, deep, down inside
"
1983,"I feel it
"
1984,"Yes, deep inside
"
1985,"Deep, deep, down inside
"
1986,"I feel it
"
1987,"Oh, deep inside
"
1988,"Deep, deep, down inside
"
1989,"I feel it
"
1990,"Yes, deep inside
"
1991,"I get lifted, yes
"
1992,"Deep, deep, down inside
"
1993,"I can feel it
"
1994,"Oh, deep inside
"
1995,"Oh, I get lifted, yes
"
1996,"Deep, deep, down inside
"
1997,"I feel it
"
1998,"Yes, deep inside
"
1999,"Oh, I get lifted, yes
"
2000,"Deep, deep, down inside
"
2001,"I feel it
"
2002,"Oh, deep inside (Oh no, oh no, no, no, no)
"
2003,"Oh, I get lifted, yes
"
2004,"Deep, deep, down inside
"
2005,"I feel it
"
2006,"Yes, deep inside
"
2007,"Oh, I get lifted, yes
"
2008,"Deep, deep, down inside
"
2009,"I get
"
2010,"I feel it's fadin'
"
2011,"Oh, I get lifted, yes
"
2012,"I feel it fadin'
"
2013,"I feel it fadin'
"
2014,"I feel it
"
2015,"I feel it's fadin'
"
2016,"Yeah, 9:08 L.A. time
"
2017,"Back in the lab and shit
"
2018,"My wife said, ""I can't say no to nobody""
"
2019,"And at this rate we gon' both die broke
"
2020,"Got friends that ask me for money knowin' I'm in debt
"
2021,"And like my wife said, I still didn't say no
"
2022,"People tryna say I'm goin' crazy on Twitter
"
2023,"My friends' best advice was to stay low
"
2024,"I guess it's hard to decipher all of the bills
"
2025,"Especially when you got family members on payroll
"
2026,"The media said it was outlandish spendin'
"
2027,"The media said he's way out of control
"
2028,"I just feel like I'm the only one not pretendin'
"
2029,"I'm not out of control, I'm just not in they control
"
2030,"I know I'm the most influential
"
2031,"That TIME cover was just confirmation
"
2032,"This generation's closest thing to Einstein
"
2033,"So don't worry about me, I'm fine
"
2034,"I can see a thousand years from now in real life
"
2035,"Skate on the paradigm and shift it when I feel like
"
2036,"Troll conventional thought, don't need to question
"
2037,"I know it's antiquated so sometimes I get aggressive
"
2038,"Thank God for Jay Electra, he down with the mission
"
2039,"Did it with no permission, on our own conditions
"
2040,"Most blacks with money have been beaten to submission
"
2041,"Yeezy with the big house, did it way different
"
2042,"Never listen to Hollywood producers
"
2043,"Don't stare at money too long, it's Medusa
"
2044,"The ultimate Gemini has survived
"
2045,"I wasn't supposed to make it past 25
"
2046,"Yeah, you're lookin' at the church in the night sky
"
2047,"Wonderin' whether God's gonna say hi
"
2048,"Oh, you're lookin' at the church in the night sky
"
2049,"And you wonder where is God in your nightlife
"
2050,"Yeah, you're lookin' at the church in the night sky
"
2051,"(Father, Father, Father in the night sky)
"
2052,"Wonderin' whether God's gonna say hi
"
2053,"Yeah, I feel like I'm home, yeah, yeah
"
2054,"I've been wakin' the spirits of millions more to come
"
2055,"A million illegally downloaded my truth over the drums
"
2056,"I believe in the children, listen to the kids, bro
"
2057,"If the phone ringin', go and get your kids, ho
"
2058,"Brother Don Muhammad told the minister about the presentation
"
2059,"He sat back and smiled
"
2060,"Black on black lies is worse than black on black crime
"
2061,"The Jews share their truth on how to make a dime
"
2062,"Most black men couldn't balance a checkbook
"
2063,"But buy a new car, talkin' 'bout, ""How my neck look?""
"
2064,"Well, it all looks great
"
2065,"Four hundred years later, we buyin' our own chains
"
2066,"The light is before us brothers, so the devil workin' hard
"
2067,"Real family stick together and see through the mirage
"
2068,"The smokescreens, perceptions of false reality
"
2069,"Who the real owner if your boss gets your salary?
"
2070,"I am one with the people
"
2071,"I am one with the people (Real!)
"
2072,"I've been woken from enlightened man's dream
"
2073,"Checkin' Instagram comments to crowdsource my self-esteem
"
2074,"Let me not say too much or do too much
"
2075,"'Cause if I'm up way too much, I'm out of touch
"
2076,"I'm prayin' a out-of-body experience will happen
"
2077,"So the people can see my light, now it's not just rappin'
"
2078,"God, I have humbled myself before the court
"
2079,"Drop my ego and confidence was my last resort
"
2080,"I know, I know He got a plan, I know I'm on Your beams
"
2081,"One set of footsteps, You was carryin' me
"
2082,"When I turned on the news and they was buryin' me
"
2083,"One set of footsteps, You was carryin' me
"
2084,"When I was negotiatin' with Apple, it was Larry and me
"
2085,"Told Tim Cook to call me, I was scary to see
"
2086,"I would've took a hundred million and gave twenty to Hov
"
2087,"I heard it's the way they did it when we only had a stove
"
2088,"But it's better that I stayed at home with my folks
"
2089,"'Cause if Jay a billionaire then I'ma never go broke
"
2090,"Only thing I ask is next time I'm on stage we all go
"
2091,"We all go
"
2092,"Not just by myself, lookin' for niggas like where's Waldo
"
2093,"She got the same shoes as my wife but she copped 'em at Aldo
"
2094,"Modern-day MJ, with a off-the-wall flow
"
2095,"Nightlife, walk all over me
"
2096,"Walk all over me
"
2097,"I'm deliverin' everything I've ever sent that you'll bring
"
2098,"Fly, fly, fly overseas
"
2099,"Fly overseas
"
2100,"Oh, anywhere, everything but in between
"
2101,"Oh, yeah
"
2102,"Yeah, you're lookin' at the church in the night sky
"
2103,"Wonderin' whether God's gonna say hi
"
2104,"Oh, you're lookin' at the church in the night sky
"
2105,"And you wonder where is God in your nightlife
"
2106,"Yeah, you're lookin' at the church in the night sky
"
2107,"Wonderin' whether God's gonna say hi
"
2108,"(Father, Father, Father in the night sky)
"
2109,"Oh, you're lookin' at the church in the night sky
"
2110,"And you wonder where is God in your nightlife
"
2111,"(Father, Father, Father in the night sky)
"
2112,"Please face me when I speak
"
2113,"Please say to me somethin' before you leave
"
2114,"You've been treatin' me like I'm invisible, now I'm visible to you
"
2115,"Oh, the invisible truths they sold
"
2116,"I can't quite understand the games you play
"
2117,"Understand, understand, understand I'm standin' under oath
"
2118,"And I promised I, I wouldn't fall anymore
"
2119,"But I'm cryin' at the bar
"
2120,"I'm wishin' that you saw my scars, man
"
2121,"I'm wishin' that you came down here and stood by me
"
2122,"And looked at me like you knew me
"
2123,"But I feel so alone
"
2124,"Like I don't know anyone except the night sky above
"
2125,"Yeah, you're lookin' at the church in the night sky
"
2126,"Wonderin' whether God's gonna say hi
"
2127,"Oh, you're lookin' at the church in the night sky
"
2128,"And you wonder where is God in your nightlife
"
2129,"Yeah, you're lookin' at the church in the night sky
"
2130,"(Father, Father, Father in the night sky)
"
2131,"Wonderin' whether God's gonna say hi
"
2132,"Oh, you're lookin' at the church in the night sky
"
2133,"And you wonder where is God in your nightlife
"
2134,"(Father, Father, Father in the night sky)
"
2135,"Yeezy season approachin'
"
2136,"Fuck whatever y'all been hearin'
"
2137,"Fuck what, fuck whatever y'all been wearin'
"
2138,"A monster about to come alive again
"
2139,"Soon as I pull up and park the Benz
"
2140,"We get this bitch shaking like Parkinsons
"
2141,"Take my number and lock it in
"
2142,"Indian hair, no moccasins
"
2143,"It's too many hoes in this house of sin
"
2144,"Real nigga back in the house again
"
2145,"Black Timbs all on your couch again
"
2146,"Black dick all in your spouse again
"
2147,"And I know she like chocolate men
"
2148,"She got more niggas off than Cochran, hah!
"
2149,"On sight, on sight
"
2150,"How much do I not give a fuck?
"
2151,"Let me show you right now 'fore you give it up
"
2152,"How much do I not give a fuck?
"
2153,"Let me show you right now 'fore you give it up
"
2154,"Oh, he'll give us what we need
"
2155,"It may not be what we want
"
2156,"Baby girl tryna get a nut
"
2157,"And her girl tryna give it up
"
2158,"Chopped 'em both down
"
2159,"Don't judge 'em, Joe Brown
"
2160,"One last announcement
"
2161,"No sports bra, let's keep it bouncin'
"
2162,"Everybody wanna live at the top of the mountain
"
